epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6073,2.08609,3.23345,2.0168,0.00389,0.68293,0.06702,0.0145,2.26871,3.8137,2.90388,0.000649573,0.000649573,0.000649573
2,30.7299,2.18068,2.97004,2.07928,0.00642,0.02439,0.00168,0.00049,3.40703,5.90068,4.77246,0.00130321,0.00130321,0.00130321
3,44.3179,2.28323,2.89506,2.15083,0.33333,0.0122,0.00665,0.00142,nan,nan,nan,0.00194364,0.00194364,0.00194364
4,58.5049,2.25901,2.77805,2.15901,0.03847,0.08537,0.01298,0.00444,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,72.0203,2.18124,2.62401,2.10095,0.00545,0.0122,0.00197,0.00057,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,85.8898,2.14159,2.55338,2.04631,0.07945,0.08537,0.03203,0.01235,nan,nan,nan,0.001901,0.001901,0.001901
7,99.915,2.11331,2.53429,2.01316,0.17108,0.28049,0.09868,0.03372,2.62464,4.46383,2.72361,0.0018812,0.0018812,0.0018812
8,113.742,2.10846,2.45152,2.02775,0.09388,0.19512,0.06042,0.01695,2.59333,5.13101,2.55582,0.0018614,0.0018614,0.0018614
9,127.516,2.06046,2.43957,1.99446,0.25252,0.26829,0.17433,0.05387,2.42228,3.85519,2.44074,0.0018416,0.0018416,0.0018416
10,141.199,2.01518,2.34482,1.98989,0.27509,0.26829,0.19968,0.07801,2.40452,2.92868,2.4634,0.0018218,0.0018218,0.0018218
11,156.153,1.97918,2.31044,1.92163,0.28643,0.30488,0.20694,0.05714,2.35175,3.06773,2.35451,0.001802,0.001802,0.001802
12,169.615,1.9482,2.24875,1.91187,0.39574,0.2561,0.23655,0.07103,2.41119,3.04545,2.41236,0.0017822,0.0017822,0.0017822
13,183.254,1.98934,2.30213,1.95841,0.32455,0.36332,0.24938,0.1002,2.37168,2.92953,2.3509,0.0017624,0.0017624,0.0017624
14,196.975,1.92544,2.15835,1.8666,0.30825,0.30488,0.16272,0.05254,2.39755,2.91426,2.35154,0.0017426,0.0017426,0.0017426
15,210.754,1.94998,2.15537,1.90952,0.23238,0.24,0.11256,0.03731,2.43256,3.3628,2.33006,0.0017228,0.0017228,0.0017228
16,224.408,1.92359,2.07997,1.86022,0.30699,0.18369,0.16834,0.0555,2.53973,3.09266,2.57441,0.001703,0.001703,0.001703
17,238.204,1.95347,2.14563,1.86573,0.26447,0.23241,0.16184,0.04816,2.49554,3.03775,2.43313,0.0016832,0.0016832,0.0016832
18,252.463,1.90066,2.10421,1.8656,0.27817,0.2439,0.1703,0.05177,2.50738,3.14329,2.48622,0.0016634,0.0016634,0.0016634
19,266.393,1.86367,2.04575,1.83149,0.67697,0.21951,0.2576,0.08715,2.45901,2.60771,2.4371,0.0016436,0.0016436,0.0016436
